sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
o	x	x	x	x	-	-	111788	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Der Antrag hat folgenden Gesamtwortlaut: des Abgeordneten Erwin Angerer und weiterer Abgeordneter betreffend Zweiten Lockdown ausschließen – Planungssicherheit für die Wirtschaft her­stellen eingebracht im Zuge der Debatte zu TOP 2: Bericht des Tourismusausschusses über den Antrag 900/A der Abgeordneten Karl Schmidhofer, Barbara Neßler, Kolleginnen und Kollegen betreffend ein Bundesgesetz, mit dem das Bundesgesetz über besondere För­derungen von kleinen und mittleren Unternehmen  geändert wird  in der 55.
-	x	x	-	x	o	-	111789	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Sitzung des Nationalrates am 14. Oktober 2020 In den letzten Monaten mussten sich viele Betriebe und Unternehmen in Folge von COVID-19 und des verordneten Lockdowns massiv verschulden und befinden sich nach wie vor, wenn auch mit branchenabhängigen Unterschieden, in einer wirtschaftlich äu­ßerst schwierigen Lage.
-	x	x	x	-	-	-	111795	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Für zusätzliche Verunsicherung und damit weiterhin fehlende Planbarkeit für die heimi­schen Unternehmen und Beschäftigten sorgt der seit Wochen immer wieder auch von Regierungsseite ins Spiel gebrachte mögliche zweite Lockdown.
-	#	#+	x	x	o	o	111796	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	So schloss ausgerechnet Wirtschaftsministerin Schramböck einen zweiten Lockdown gegenüber der Kleinen Zeitung vom 8. Oktober 2020 mit den Worten: „Ich habe keine Glaskugel. Israel hätte sich auch nicht gedacht, dass es dazu kommenwird.” nicht aus.
-	x	x	-	x	-	-	111798	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Wie drastisch die Auswirkungen eines zweiten Lockdowns für die Wirtschaft in Öster­reich wären, haben IHS und WIFO kürzlich dargelegt, die einen neuen Lockdown mit folgender Begründung als argen Schlag bezeichnen: „Ein neuerlicher Lockdown in diesem Herbst könnte die BIP-Raten - laut Wifo heuer mi­nus 6,8 Prozent, 2021 plus 4,4 Prozent - um 2,5 bis 4,0 Prozentpunkte senken, warnte das Wirtschaftsforschungsinstitut am Freitag.
-	x	-	-	x	-	-	111800	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Ein neuerlicher Lockdown freilich könnte die Wirtschaftsleistung im vierten Quartal auf das Niveau des zweiten Quartals herunterdrücken und im gesamten Prognosezeitraum einen Wertschöpfungsverlust von 4,5 Prozent bewirken, warnt das Wifo.“ APA0140 Fr, 09.Okt 2020 Vor dem Hintergrund dieser dramatischen Auswirkungen eines zweiten Lockdowns ist es dringend erforderlich, dass die Bundesregierung umgehend öffentlich einen zweiten Lockdown in Österreich ausschließt.
-	x	-	-	x	-	-	111801	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	In eben diese Kerbe schlägt die Wirtschaftskammer, wenn Präsident Mahrer und Gene­ralsekretär Kopf in diesem Zusammenhang in einer Aussendung vom 9. Oktober 2020 „wirtschaftspolitische Vernunft“ und die Verhinderung eines neuerlichen Lockdowns ein­fordern: „Viele österreichische Betriebe werden weiterhin mit der größten Wirtschaftskrise der vergangenen Jahrzehnte ringen.
-	x	-	x	x	-	-	111802	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Ein zweiter Lockdown ist undenkbar und daher unter allen Umständen zu vermeiden.
o	x	x	x	-	-	-	111807	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Echte Planungssicherheit für die heimischen Unternehmen wird aber erst dann gegeben sein, wenn die Bundesregierung einen Lockdown definitiv ausschließt.
o	x	-	x	x	-	-	111808	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	In diesem Zusammenhang stellen die unterfertigten Abgeordneten daher nachste­henden Der Nationalrat wolle beschließen: „Die Bundesregierung wird aufgefordert, umgehend und öffentlich einen zweiten Lock­down definitiv auszuschließen, um so die dringend erforderliche Planungssicherheit für die Unternehmen sicherzustellen und damit positive Signale für die Betriebe und ihrer Beschäftigten auszusenden.“
-	x	x	x	x	o	o	112545	2020_10_14	55	NEOS	Abgeordneter Dr. Helmut Brandstätter (NEOS)	False	Als vergangene Woche dort der erste Corona-Fall bekannt wurde, wurde der Lock-down noch einmal verschärft.
o	x	-	x	x	-	-	112577	2020_10_14	55	ÖVP	Bundesminister für Europa, Integration und Äußeres Mag. Alexander Schallen­berg, LL.M.	True	Der beste Weg, eigent­lich der einzige Weg, dieses Thema nachhaltig aus der Welt zu schaffen, ist es, die Co­vid-19-Zahlen in Europa und Österreich nachhaltig in den Griff zu kriegen, denn schließ­lich haben wir alle hier in diesem Raum ein gemeinsames Ziel, nämlich mit aller Kraft einen zweiten Lockdown zu vermeiden und den Weg aus der Krise zu finden.
-	#	#+	-	x	o	-	113384	2020_10_14	55	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Das Damoklesschwert eines möglichen Lockdowns schwebt im Raum, und das kommt nicht von der Opposition – weil Sie so schauen, Herr Kollege Wöginger –, das kommt von Ihrer eigenen Wirtschaftsministerin, die das vor einer Woche gesagt hat, meine Damen und Herren, die das medial gesagt hat.
-	#	#+	x	x	-	-	113486	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Da ist es natürlich kontraproduktiv, wenn Ihre Kollegin Schramböck in den Medien he­rumfantasiert, ob es vielleicht einen zweiten Lockdown geben wird oder nicht.
-	#	#+	x	x	-	-	113488	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Wenn man ein Unternehmer ist und überlegt, eine Investition zu tätigen, und dann kommt die Wirtschaftsministerin und redet von einem zweiten Lockdown, dann denkt man sich: Na, wenn sogar die über einen Lockdown nachdenkt, ist er eher wahrscheinlich.
-	x	-	x	x	-	-	113490	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Denken Sie nicht an einen Lockdown!
o	x	-	x	x	-	-	113491	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Wir planen keinen Lockdown.
-	#	#+	x	x	-	-	113493	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	– Natürlich denken alle an einen Lockdown, wenn Sie in Ihrer Regierung immer von einem Lockdown schwätzen.
-	#	#+	x	-	-	-	114198	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Die Wirtschaftsministerin phantasiert jetzt schon vom nächsten Lockdown, der Gesundheitsminister sagt: Nein, Lockdown wird es keiner!, aber wir wissen aus dem COVID-19-Maßnahmengesetz, dass Betretungsverbo­te auch verhängt werden können, ohne dass es ein völliger Lockdown wird – also die Unsicherheit ist gestreut.
o	x	x	x	x	+	+	114299	2020_10_14	55	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Vielleicht eine Zahl: Einen Lockdown haben mittlerweile 82 Staaten auf dieser Welt realisiert.
o	x	-	x	x	-	-	114300	2020_10_14	55	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Mein Ziel – und ich denke, unser aller Ziel – ist es, dass wir die geeigneten Maßnahmen jetzt setzen, damit es in Österreich nie mehr einen weiteren Lockdown braucht.
o	x	x	x	+	+	+	114303	2020_10_14	55	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Wir wissen aus Modellierungsversuchen, dass die Um­setzung des Lockdowns – im Frühling, im März des heurigen Jahres – eine Woche spä­ter bedeutet hätte, dass wir viermal mehr Infektionen gehabt hätten.
-	#	#+	x	+#-	+	+	114305	2020_10_14	55	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Der richtige Zeitpunkt der Forderung nach einem Lockdown, im Übrigen viel umfassender formuliert, als wir ihn dann umgesetzt haben - -  – Ich finde es ja spannend, dass einer, der Corona sonst verharmlost, jetzt darauf drängt, dass man den Lockdown früher hätte verwirklichen müssen.
-	x	-	x	x	-	-	114433	2020_10_14	55	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Zur Frage 22 – das ist die Antwort auch zu den Fragen 26 und 28 –: Alle unsere Maßnahmen und unser Handeln dienen dem Ziel, einen zweiten Lockdown zu verhindern.
-	x	x	x	x	o	-	114435	2020_10_14	55	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Durch die Novellierung des COVID-19-Maßnahmengesetzes ist auch klar geregelt, dass ein Lock­down nur im äußersten Fall, nämlich bei einem drohenden flächendeckenden Zusam­menbruch unseres Gesundheitssystems, und nur mit Zustimmung des Hauptausschus­ses des Parlaments möglich wäre.
o	x	x	x	x	o	o	115045	2020_10_14	55	FPÖ	Abgeordneter Peter Wurm (FPÖ)	False	Ich möchte zum Schluss noch einen Satz sagen, der mir auch mit Blick auf die Phasen des Lockdowns – weil ja hier immer ein zweiter Lockdown im Raum steht – wichtig ist.
-	#	#-	x	x	o	o	115092	2020_10_14	55	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Eine letzte Bemerkung noch, weil es hier heute einmal geheißen hat, das rosa Einhorn oder – ich glaube – der rosa Elefant, der Lockdown, wird immer und immer wieder ins Spiel gebracht: Also der Minister rennt seit Wochen sozusagen durch die Gegend und sagt in jedes Mikrofon, das ihm unter die Nase gehalten wird: Wir sind meilenweit von einem Lockdown entfernt!
-	#	#+	x	x	-	-	115095	2020_10_14	55	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Die Einzigen, die hier herinnen und auch draußen die Bevölkerung verunsichern, seid ihr, liebe Kolleginnen und Kollegen von der FPÖ, und die Kolleginnen und Kollegen von den NEOS, die ihr euch ständig hinstellt und die ganze Zeit von einem Lockdown redet und die ganze Zeit irgendwelche entsprechenden Gerüchte streut.
o	#	#+	x	x	-	-	115136	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Kollege Schallmeiner hat erklärt, es würde nur die Opposition von einem zweiten Lockdown reden.
o	#	#+	x	x	o	o	115137	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	– Ich berichtige tatsächlich: In der Diskussion der Wiener SpitzenkandidatInnen am 6. Oktober hat Birgit Hebein einen zweiten Lockdown nicht ausgeschlossen, und am 8. Oktober konnte man in der „Kleinen Zeitung“ lesen, dass ÖVP-Ministerin Schramböck einen zweiten Lock­down nicht ausschließt.
-	##	##+	x	x	o	o	115290	2020_10_14	55	Grüne	Abgeordnete Barbara Neßler (Grüne)	True	Wir wissen, dass wir keine tatsächliche Berichtigung von einer tatsächlichen Berichtigung machen können, aber, Herr Loacker, ich möchte das hier schon richtigstellen: Sie behaupten, Kollegin Hebein hätte gesagt, sie kann sich einen zweiten Lockdown vorstellen.
-	#	#+	-	x	-	-	117673	2020_10_15	57	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Was ich vermisst habe, ist ein Bekenntnis dazu, dass es auch Sie mit Ihrem doch überaus scharfen Lockdown waren, der letztlich bewirkt hat, dass die Unternehmen in die Krise geschlittert sind, dass Einnahmen von einem Tag auf den anderen weggebrochen sind, die Kosten weiter­gelaufen sind und Menschen ihren Job verloren haben.
o	x	x	x	x	o	o	117675	2020_10_15	57	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Ich möchte auch ganz bewusst nach Deutschland schauen, wo damit und auch mit der Verantwortung, die eine Regierung in der Frage: Lockdown, ja oder nein?, hat, ganz anders umgegangen wird.
-	#	#+	-	x	-	-	117686	2020_10_15	57	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Ich habe damals gesagt: Whatever it takes!, was auch etwas ganz anderes ist, nämlich im Sinne von: Was auch immer nötig ist, um das aufzufangen, was unter anderem auch Sie – ich möchte kein Hehl daraus machen, dass wir diese scharfen Maßnahmen auch mitgetragen haben – mit dem Lockdown verursacht haben, wobei Sie gleichzeitig auch den Entschädi­gungs­anspruch vor allem der Unternehmer abgeschafft haben.
-	x	-	-	x	-	-	117839	2020_10_15	57	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Ein Damoklesschwert bei den aktuellen Wirtschaftsprognosen ist ein möglicher zweiter Lockdown.
-	x	x	-	x	-	-	117840	2020_10_15	57	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Dieser zweite Lockdown wäre natürlich der Todesstoß für die heimische Wirt­schaft.
-	#	#+	-	+	o	-	117982	2020_10_15	57	ÖVP	Abgeordnete Angela Baumgartner (ÖVP)	True	Der Lockdown – und die NEOS haben bei dieser Entscheidung am Anfang mitge­stimmt – hat unsere Wirtschaft um 25 Prozent einbrechen lassen – die schrittweisen Lockerungen haben dann jedoch spürbar zur Entlastung und Erholung beigetragen.
-	#	#-#+	x	x	o	o	118363	2020_10_15	57	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	– Sie haben es ja heute schon getan: Sie haben gestern einen zweiten Lockdown ausgeschlossen, jetzt schließen Sie in Kuchl alles.
o	#	#-	x	x	o	o	118365	2020_10_15	57	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Gestern haben Sie noch gesagt, Sie schließen einen zweiten Lockdown aus.
o	x	x	-	+	o	+	118475	2020_10_15	57	ÖVP	Abgeordnete Mag. Dr. Maria Theresia Niss, MBA (ÖVP)	True	Diese Maßnahme unterstützt jene Betriebe, die durch den Lockdown besonders von einem Umsatzeinbruch betroffen sind.
-	x	x	-	x	o	-	118754	2020_10_15	57	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	Wir sehen allein aus den IHS-Studien zum Lockdown, dass mindestens 140 000 Kinder von der Schule nicht oder nur unzulänglich erreicht werden konnten.
-	x	x	-	-	o	-	119355	2020_10_15	58	Grüne	Abgeordneter Lukas Hammer (Grüne)	True	Es war in so einer Zeit wirklich nicht einfach, ein Volksbegehren am Laufen zu halten und Unterschriften zu sammeln: Es gibt eine Pandemie, die sehr viel der öffentlichen Aufmerksamkeit genom­men hat; es gab dann Computer- und IT-Pannen – auch beim Innenministerium –; und dann war Ende Juni die Eintragungswoche, nach einem Lockdown, da sind viele Men­schen zu Hause geblieben, weil sie eher nicht mit anderen Menschen am Gemeindeamt in der Schlange stehen wollten.
-	x	x	-	x	o	-	119584	2020_10_15	58	SPÖ	Abgeordnete Cornelia Ecker (SPÖ)	False	Besonders im Lockdown verloren fossile Energieträger wie Kohle und Gas schlagartig an Bedeutung.
o	x	x	x	x	o	o	121794	2020_11_05	60	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Es war ein noch lauer Abend, der letzte vor dem Lockdown, viele waren noch essen oder mit Freunden unterwegs.
o	x	x	x	x	o	o	121997	2020_11_05	60	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Es war der Abend vor dem Lockdown.
-	x	x	x	x	-	-	122047	2020_11_05	60	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Er hat gesagt, gleich als Erstes nach dem Lockdown wird er „in das Lokal zurückkehren und mit den Kellnern dort ein Bier trinken, weil mein Lieblingslokal lasse ich mir von dem nicht wegnehmen“.
-	x	x	x	x	o	o	122115	2020_11_05	60	Grüne	Bundesministerin für Justiz Dr. Alma Zadić, LL.M.	True	Der Anblick der Bilder vom 2.11.2020, das Gefühl, dass Menschen vor unserer Haustür mit einem Sturmgewehr erschossen wurden – wehrlos erschossen wurden, unschuldig erschossen wurden –, unschuldige Menschen, die an diesem Abend gemeinsam mit ihren Freunden etwas trinken waren, weil sie den Abend vor dem Lockdown noch genießen wollten: Das hat mich und viele andere an eine Zeit erinnert, wir haben uns in eine Zeit zurückversetzt gefühlt, die wir in Österreich nicht haben wollen, die wir nie erleben wollen.
o	x	x	x	x	o	o	122907	2020_11_05	60	ÖVP	Abgeordneter Mag. Wolfgang Gerstl (ÖVP)	True	Es war nicht nur 4 Stunden vor dem Lockdown, es war auch der 2. November, an dem die katholischen Christen Allerseelen feiern.
-	x	x	-	x	-	-	123073	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Der zweite Lockdown – wir haben heute den ersten Tag dieses zweiten Lockdowns – wird diese Entwicklung und diese dramatische Situation noch weiter verschärfen.
-	x	x	-	x	-	-	123074	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Es war schon vor dem zweiten Lockdown so, dass das Wifo, das Wirtschaftsforschungsinstitut, davon ausgegangen ist, dass aufgrund dieser sieben, acht Monate Coronazeit das Bruttoinlandsprodukt in Österreich um 6,8 Prozent sinken wird – 6,8 Prozent weniger BIP!
-	x	x	-	x	-	-	123075	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Dieser Totallockdown, der heute startet, wird unsere Wirtschaft weiter einbrechen lassen und wird weiter Zehntausende, ja Hunderttausende Arbeitsplätze kosten.
-	x	x	-	x	-	-	123076	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Eine aktuelle Prognose des Wifo geht von einem Risikoszenario aus, dem zufolge es in Österreich aufgrund des neuerlichen Lockdowns zu einem Einbruch von über 9 Prozent kommen wird.
-	x	x	-	x	-	-	123081	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Die zweite Pleite- und Kündigungswelle der heimischen Wirtschaft hat schon begonnen, bevor der zweite Lockdown begonnen hat, nämlich vor einigen Monaten, vor allem in Bereichen der heimischen Großindustrie, aber auch im Bereich des Tourismus und der Gastronomie.
-	x	x	-	x	-	-	123116	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Das ist heute noch wichtiger geworden, heute beginnt der Totallockdown für unser Land  – danke für diesen Hinweis, das freut ganz viele Österreicherinnen und Österreicher wirklich –: Wirtschaftlich, gesellschaftlich und im Bildungsbereich wird auf einen Nullpunkt runtergefahren.
-	x	x	-	x	o	-	123123	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Mir ist bewusst, dass durch die Wirtschaftshilfen, die jetzt durch diesen zweiten vollen Lockdown noch viel mehr werden, Ihr Budget sehr stark belastet ist, Herr Bundes­minister.
-	x	x	-	x	-	-	123200	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Man muss sich nämlich vorstellen, dass wir in den kommenden Tagen mit dem Budget 2020/2021 ein Zahlenwerk diskutieren, das von der Regierung, die es vorgelegt hat, auch schon wieder zusammengeschossen worden ist, zusammengeschossen und zertrümmert worden ist, genauso wie es beim Budget 2020 der Fall gewesen ist, über das wir vor einigen Monaten diskutiert haben, und zwar mit derselben Methode zusammengeschossen, wie Sie es damals gemacht haben, nämlich mit der Verhängung eines totalen Lockdowns.
o	#	#-	x	x	o	-	123201	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Zur Erinnerung: Dieser totale Lockdown ist derjenige, von dem uns die Vertreter dieser Bundesregierung erklärt haben, dass er gar nicht möglich ist.
-	##	##+	x	x	-	-	123202	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Der Herr Gesund­heits­minister hört heute noch die Enten quaken, seit damals, als wir diesen Lockdown in den Raum gestellt haben.
-	x	x	x	x	o	-	123203	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Ich rede von dem Lockdown, der gerade jetzt kommt, wo die Infektionszahlen, mit denen Sie tagein tagaus die österreichische Bevölkerung bombardieren – nach dem Motto: unsere tägliche Pressekonferenz gib uns heute!
-	x	x	-	x	-	-	123219	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Die Folgen sind so katastrophal, dass Sie sich nicht einmal trauen, die Auswirkungen ins Budget hineinzuschreiben, denn der gesamte harte Lockdown, den Sie jetzt verordnet haben, ist zahlenmäßig nicht einmal ansatzweise abgebildet.
-	x	x	x	-	o	-	123249	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl	False	Die reiben sich angesichts Ihres Lockdowns die Hände, denn das sind die großen Profiteure.
-	x	-	x	x	-	-	123254	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl	False	Da geht es einfach darum, dass wir uns nicht von einem Lockdown in den nächsten Lockdown und in den nächsten Lockdown und in den nächsten Lockdown hinüberturnen wollen, an dessen Ende dann ein groß angelegtes Menschen­experiment mit einer unausgegorenen Massenimpfung stehen soll.
-	x	x	x	x	o	-	123280	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl	False	Noch etwas: Ich weiß ja nicht genau, wer aufseiten der Volkspartei den Lockdown zum jetzigen Zeitpunkt bestellt hat – wer aus dem Seilbahnbereich.
-	x	-	x	x	-	-	123314	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl (fortsetzend)	False	Der einzige Lockdown, der Österreich helfen könnte, wäre der Lockdown für diese Bundesregierung.
-	x	x	x	-	-	-	123386	2020_11_17	62	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Seitdem hat sich aber sehr viel getan: Mittlerweile hat uns die zweite Welle voll erwischt, und der Untätigkeit der Regierung ist es geschuldet, dass mit heutigem Tag der zweite, und zwar wirklich sehr harte, Lockdown in Kraft tritt.
-	x	x	-	x	-	-	123389	2020_11_17	62	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Der zweite harte Lockdown trifft die Menschen in Österreich mit voller Wucht.
-	x	#+	-	x	-	-	123391	2020_11_17	62	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Es zahlen die Arbeitnehmerinnen und Arbeitnehmer, Unternehmerinnen und Unternehmer, Lehrerinnen und Lehrer, Eltern und Kinder den Preis für Ihre Versäumnisse, die Zeche für die Fehler der vergangenen Monate, da Sie nicht alles darangesetzt haben, diesen zweiten harten Lockdown zu verhindern.
-	x	x	-	x	o	-	123394	2020_11_17	62	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Besonders eindrucksvoll war ein Brief einer Mutter dreier Kinder, die mir geschrieben hat, dass sie und ihr Mann schon im Frühjahr, beim ersten Lockdown, ihren Job verloren haben.
-	x	x	-	x	o	-	123422	2020_11_17	62	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	In die Zukunft zu gehen aber, auch mit der Digi­talisierung, bedeutet in so einer Situation nicht, dass schon wieder Chaos ausbricht, wenn der Lockdown kommt, und sowohl Lehrerinnen und Lehrer als auch Eltern und die Kinder nicht wissen, was sie jetzt tun sollen: Sollen sie zu Hause bleiben, weil sie da vielleicht die besseren Unterrichtsstunden über Zoom bekommen, oder sollen sie in die Schule gehen, weil dort der bessere Unterricht stattfindet?
-	##	##+	x	x	o	+	123471	2020_11_17	62	ÖVP	Abgeordneter Gabriel Obernosterer (ÖVP)	True	Wenn ich gerade von der Vorrednerin höre, dass die Regierung so wenig getan hat, um diesen Lockdown, der jetzt wieder da ist, abzuwenden – bitte schön, schaut eure Pres­seaussendungen an, schaut eure Pressekonferenzen an!
-	x	x	x	x	o	+	123472	2020_11_17	62	ÖVP	Abgeordneter Gabriel Obernosterer (ÖVP)	True	Alle Aufrufe zur Eigenver­antwortung und alle Auflagen, die von der Regierung gekommen sind, um den zweiten Lockdown zu verhindern, das war für euch alles ein Blödsinn.
-	#	#-	x	x	+	+	123474	2020_11_17	62	ÖVP	Abgeordneter Gabriel Obernosterer (ÖVP)	True	Jetzt, wo die Sache wieder so ernst ist, sage ich: Es ist unverantwortlich, dass SPÖ und NEOS – von den Freiheitlichen will ich gar nicht reden – beim Beschluss dieses Lock­downs nicht mitgegangen sind.
-	x	x	-	-	o	-	123493	2020_11_17	62	SPÖ	Abgeordneter Kai Jan Krainer (SPÖ)	False	Wir wissen, dass es um Milliarden danebenliegt, nämlich aufgrund des Lockdowns, und das letzte Mal haben wir als Oppo­sitionsparteien hier darauf hingewiesen: Das Hohe Haus darf wissentlich keine falschen Zahlen beschließen!
-	x	x	x	+s	o	-	123497	2020_11_17	62	SPÖ	Abgeordneter Kai Jan Krainer (SPÖ)	False	Wir haben deswegen den Vorschlag eingebracht, den Beschluss des Budgets hier im Hohen Haus um zwei, drei, vier Wochen – wie lange der Finanzminister auch immer braucht – zu verschieben, um hier einfach ein solides Zah­lenwerk vorzulegen – nicht über Nacht, sondern in aller Ruhe –, damit wir das dann noch heuer beschließen können; damit wir eine realistische Vorschau beschließen und nicht Zahlen, von denen wir alle hier wissen, dass sie niemals halten können, weil dieses Budget durch den Lockdown eins und den Lockdown zwei vollkommen überholt ist.
-	x	x	x	-	-	-	123556	2020_11_17	62	SPÖ	Abgeordneter Kai Jan Krainer (SPÖ)	False	Aufgrund des völligen Versagens der Regierung im Corona-Krisen Management – in den USA sind unter einem Präsidenten Trump die Zahl der Neuinfektionen geringer als in Österreich – musste ein zweiter Lockdown beschlossen werden und man muss mit lockdownähnlichen Maß­nahmen bis Jahresende rechnen.
-	x	x	-	x	o	-	123609	2020_11_17	62	Grüne	Abgeordneter Mag. Dr. Jakob Schwarz, BA (Grüne)	True	Ja, dieses Budget 2021 entsteht unter äußerst schwierigen Bedingungen, und – keine Frage –, der Lockdown wird massive Auswirkungen auf das Budget haben, auf das heurige aber.
-	#	#-	x	x	o	+	123613	2020_11_17	62	Grüne	Abgeordneter Mag. Dr. Jakob Schwarz, BA (Grüne)	True	Noch kurz zur Abstimmung in Bezug auf die Verordnung zum Lockdown: Sie wissen, dass die Frage der Schulschließungen nicht in dieser Verordnung geregelt wurde, das heißt, Sie haben nicht wegen der Schulschließungen dagegengestimmt, sondern aus irgendwelchen anderen, unerklärlichen Gründen.
-	x	-	x	x	-	-	123655	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Dieser Lockdown hätte verhindert werden können und auch müssen.
o	x	x	x	x	o	o	123657	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Am 6. November ist die Bevölkerung noch davon ausgegangen, dass der sogenannte Lockdown light, also der zweite Lockdown, bis 30. November dauern wird.
-	#	#+	x	x	-	-	123658	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Im Budget­hearing hat aber bereits der Regierungsexperte Prof. Badelt aufhorchen lassen, denn er ist bereits damals, am 6. November, davon ausgegangen, dass dieser Lockdown bis eine Woche vor Weihnachten dauern wird.
