sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
-	x	x	-	x	-	-	123074	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Lockdown Wifo Wirtschaftsforschungsinstitut ausgegangen aufgrund Monate Coronazeit Bruttoinlandsprodukt Österreich 6,8   Prozent sinken   6,8   Prozent BIP 
-	x	x	-	x	-	-	123075	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Totallockdown startet Wirtschaft einbrechen lassen Zehntausende Hunderttausende Arbeitsplätze kosten 
-	x	x	-	x	-	-	123076	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	aktuelle Prognose Wifo Risikoszenario zufolge Österreich aufgrund neuerlichen Lockdowns Einbruch 9   Prozent 
-	x	x	-	x	-	-	123081	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Pleite- Kündigungswelle heimischen Wirtschaft begonnen bevor Lockdown begonnen nämlich Monaten Bereichen heimischen Großindustrie Bereich Tourismus Gastronomie 
-	x	x	-	x	-	-	123116	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	wichtiger beginnt Totallockdown Land   danke Hinweis freut Österreicherinnen Österreicher   Wirtschaftlich gesellschaftlich Bildungsbereich Nullpunkt runtergefahren 
-	x	x	-	x	o	-	123123	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	bewusst Wirtschaftshilfen vollen Lockdown Budget stark belastet Herr Bundes­minister 
-	x	x	-	x	-	-	123200	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	nämlich vorstellen kommenden Budget   2020 2021 Zahlenwerk diskutieren Regierung vorgelegt zusammengeschossen zusammengeschossen zertrümmert genauso Budget   2020 Fall Monaten diskutiert Methode zusammengeschossen nämlich Verhängung totalen Lockdowns 
o	#	#-	x	x	o	-	123201	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Erinnerung totale Lockdown Vertreter Bundesregierung erklärt 
-	##	##+	x	x	-	-	123202	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Herr Gesund­heits­minister hört Enten quaken Lockdown Raum gestellt 
-	x	x	x	x	o	-	123203	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	rede Lockdown Infektionszahlen tagein tagaus österreichische Bevölkerung bombardieren   Motto tägliche Pressekonferenz gib 
-	x	x	-	x	-	-	123219	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Folgen katastrophal trauen Auswirkungen Budget hineinzuschreiben gesamte harte Lockdown verordnet zahlenmäßig ansatzweise abgebildet 
-	x	x	x	-	o	-	123249	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl	False	reiben angesichts Lockdowns Hände Profiteure 
-	x	-	x	x	-	-	123254	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl	False	einfach Lockdown nächsten Lockdown nächsten Lockdown nächsten Lockdown hinüberturnen angelegtes Menschen­experiment unausgegorenen Massenimpfung stehen 
-	x	x	x	x	o	-	123280	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl	False	weiß genau aufseiten Volkspartei Lockdown jetzigen Zeitpunkt bestellt   Seilbahnbereich 
-	x	-	x	x	-	-	123314	2020_11_17	62	FPÖ	Abgeordneter Herbert Kickl (fortsetzend)	False	einzige Lockdown Österreich helfen Lockdown Bundesregierung 
-	x	x	x	-	-	-	123386	2020_11_17	62	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	getan Mittlerweile Welle voll erwischt Untätigkeit Regierung geschuldet heutigem harte Lockdown Kraft tritt 
-	x	x	-	x	-	-	123389	2020_11_17	62	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	harte Lockdown trifft Menschen Österreich voller Wucht 
-	x	#+	-	x	-	-	123391	2020_11_17	62	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	zahlen Arbeitnehmerinnen Arbeitnehmer Unternehmerinnen Unternehmer Lehrerinnen Lehrer Eltern Kinder Preis Versäumnisse Zeche Fehler Monate darangesetzt harten Lockdown verhindern 
-	x	x	-	x	o	-	123394	2020_11_17	62	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	eindrucksvoll Brief Mutter dreier Kinder geschrieben Mann Frühjahr Lockdown Job verloren 
-	x	x	-	x	o	-	123422	2020_11_17	62	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Zukunft Digi­talisierung bedeutet Situation Chaos ausbricht Lockdown sowohl Lehrerinnen Lehrer Eltern Kinder wissen Hause bleiben besseren Unterrichtsstunden Zoom bekommen Schule bessere Unterricht stattfindet 
-	##	##+	x	x	o	+	123471	2020_11_17	62	ÖVP	Abgeordneter Gabriel Obernosterer (ÖVP)	True	Vorrednerin höre Regierung getan Lockdown abzuwenden   bitte schön schaut eure Pres­seaussendungen schaut eure Pressekonferenzen 
-	x	x	x	x	o	+	123472	2020_11_17	62	ÖVP	Abgeordneter Gabriel Obernosterer (ÖVP)	True	Aufrufe Eigenver­antwortung Auflagen Regierung gekommen Lockdown verhindern Blödsinn 
-	#	#-	x	x	+	+	123474	2020_11_17	62	ÖVP	Abgeordneter Gabriel Obernosterer (ÖVP)	True	Sache ernst sage unverantwortlich SPÖ NEOS   Freiheitlichen reden   Beschluss Lock­downs mitgegangen 
-	x	x	-	-	o	-	123493	2020_11_17	62	SPÖ	Abgeordneter Kai Jan Krainer (SPÖ)	False	wissen Milliarden danebenliegt nämlich aufgrund Lockdowns letzte Mal Oppo­sitionsparteien hingewiesen Hohe Haus wissentlich falschen Zahlen beschließen 
-	x	x	x	+s	o	-	123497	2020_11_17	62	SPÖ	Abgeordneter Kai Jan Krainer (SPÖ)	False	Vorschlag eingebracht Beschluss Budgets Hohen Haus Wochen   Finanzminister braucht   verschieben einfach solides Zah­lenwerk vorzulegen   Nacht Ruhe   heuer beschließen realistische Vorschau beschließen Zahlen wissen niemals halten Budget Lockdown eins Lockdown vollkommen überholt 
-	x	x	x	-	-	-	123556	2020_11_17	62	SPÖ	Abgeordneter Kai Jan Krainer (SPÖ)	False	Aufgrund völligen Versagens Regierung Corona-Krisen Management USA Präsidenten Trump Zahl Neuinfektionen geringer Österreich Lockdown beschlossen lockdownähnlichen Maß­nahmen Jahresende rechnen 
-	x	x	-	x	o	-	123609	2020_11_17	62	Grüne	Abgeordneter Mag. Dr. Jakob Schwarz, BA (Grüne)	True	Budget   2021 entsteht äußerst schwierigen Bedingungen   Frage   Lockdown massive Auswirkungen Budget heurige 
-	#	#-	x	x	o	+	123613	2020_11_17	62	Grüne	Abgeordneter Mag. Dr. Jakob Schwarz, BA (Grüne)	True	Abstimmung Bezug Verordnung Lockdown wissen Frage Schulschließungen Verordnung geregelt Schulschließungen dagegengestimmt irgendwelchen unerklärlichen Gründen 
-	x	-	x	x	-	-	123655	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Lockdown verhindert 
o	x	x	x	x	o	o	123657	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	6.   November Bevölkerung ausgegangen sogenannte Lockdown light Lockdown 30.   November dauern 
-	#	#+	x	x	-	-	123658	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Budget­hearing Regierungsexperte Prof.   Badelt aufhorchen lassen 6.   November ausgegangen Lockdown Woche Weihnachten dauern 
o	x	x	x	x	o	o	123663	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Wien prominenten Fall Bundeskanzler befreundeter Unternehmer Schließung Lokals Zeitpunkt angekündigt Bevölkerung Kenntnis Details bevorstehenden Lockdowns 
-	x	x	x	x	o	-	123665	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Letzten Freitag Schlussberatungen Budgetausschuss Freitag titelte Kurier Gefahr Verzug harte Lockdown aus­sehen 
-	x	x	o	x	o	o	123666	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	glauben Herr Finanzminister Blümel Freitag geantwortet budgetären Auswirkungen harten Lockdowns gefragt 
-	x	x	o	-	o	-	123669	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	weiß Verordnung harten Lockdown drinnen stehen gemeinsam Mitgliedern Bundesregierung nächsten gegeben 
-	x	x	o	-	o	-	123670	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Kurier Medien wussten Verordnung steht Finanzminister wusste Konsequenzen Lockdowns harten Lockdowns Budget enthalten 
o	x	x	o	x	o	o	123676	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Lockdown light Budget 2021 circa 1,6   Milliarden Euro berücksichtigt 
-	x	x	x	-	o	-	123677	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	harte Lockdown   erwähnt   Budget   2021 abgebildet abgebildet obwohl Finanzminister hiezu 
+	x	x	x	+	o	o	123680	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Lassen abschließend Lockdown-Umsatzersatz eingehen Grund­sätzlich Hilfsmaßnahme begrüßen Mal relativ unbüro­kratisch Finanzonline-Plattform beantragt 
-	x	x	x	-	o	-	123685	2020_11_17	62	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Richtigerweise müssten Lockdown-Umsatzersatz Finanzämter zuständig Lockdown-Umsatzersatz antragslos   Familien­beihilfe   ausgestalten 
o	x	x	x	x	o	o	123720	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Herr Finanzminister ungefähr Monat Entwurf Bud­gets 2021 vorgelegt   leichten Lockdown harten Lockdown 0   Kraft getreten 
-	x	x	x	-	o	-	123722	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Diesbezüg­lich Einzigen sagen Seiten attes­tiert Sommer vieles verschlafen   Fall verschlafen entsprechende Abbildung Lockdowns Budget darzustellen 
-	x	x	x	-	o	-	123727	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	hinaus klar sagen Falls Winter Lockdown Budget Papierkübel schmeißen 
-	x	x	-	x	-	-	123754	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	harten Lockdown   vorsichtige Berechnungen Schätzungen wahrscheinlich eher 450   000   Arbeitslose 
-	x	x	-	x	-	-	123774	2020_11_17	62	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	harte Lockdown ungefähr kosten sagen Wirtschaftsforscher 
-	x	x	-	x	o	-	123867	2020_11_17	62	ÖVP	Bundesminister für Finanzen Mag. Gernot Blümel, MBA	True	gilt Österreich verschärfter Lockdown Auswirkungen gesell­schaftliche wirtschaftliche Leben beträchtlich 
-	x	x	-	x	o	+	123871	2020_11_17	62	ÖVP	Bundesminister für Finanzen Mag. Gernot Blümel, MBA	True	Egal Lockdown Wirtschaft guten Zeitpunkt Maßnahme anlaufenden Weihnachts­geschäft Schritt schmerzhaft 
-	x	x	x	-	o	+	123876	2020_11_17	62	ÖVP	Bundesminister für Finanzen Mag. Gernot Blümel, MBA	True	Vergleich Deutschland wagen Deutschland Lockdown verbundenen Wirtschaftshilfen Woche Österreich angekündigt Wirtschaftshilfen bean­tragen klar Form genau erfolgen 
+	x	x	x	+	o	+	123879	2020_11_17	62	ÖVP	Bundesminister für Finanzen Mag. Gernot Blümel, MBA	True	Unternehmen Verschärfung Lockdowns neu betrof­fen rasche Hilfen geben 
+	x	x	+	x	+	+	123887	2020_11_17	62	ÖVP	Bundesminister für Finanzen Mag. Gernot Blümel, MBA	True	bestätigt IHS-Chef Martin Kocher Tageszeitung Presse 16.11. Lockdown Alternativen schlechter passiert 
o	x	x	o	x	o	o	123888	2020_11_17	62	ÖVP	Bundesminister für Finanzen Mag. Gernot Blümel, MBA	True	Lockdown Auswirkungen Wachstum 2021   völlig   Einnahmen Staates 
-	x	+	x	x	+	+	124007	2020_11_17	62	ÖVP	Abgeordneter Karlheinz Kopf (ÖVP)	True	aufgrund Entwicklung Infektionszahlen Lockdown Betriebe Hotellerie Gastronomie   Schritt   Betriebe Einrichtungen schließen 
+	x	x	x	+	+	+	124008	2020_11_17	62	ÖVP	Abgeordneter Karlheinz Kopf (ÖVP)	True	Herr Finanzminister vorhin ausgeführt schnell nämlich innerhalb wenigen Wochen gelungen Hotellerie Gastronomie Phase Lockdowns 80-prozentigen Umsatzersatz rasche Hilfe bereitzustellen wozu Kollege Schellhorn Kritik Regierungsparteien Herrn Finanzminister verlegen immerhin getwittert Ratz Fatz   5 min Finanzonline binnen 5   Minuten Antrag Finanzonline erledigt 
+	x	x	x	+s	o	+	124019	2020_11_17	62	ÖVP	Abgeordneter Karlheinz Kopf (ÖVP)	True	Konzeption befindlichen Hilfsmaßnahmen Fixkostenzuschuss Phase Umsatzersatz Lockdown betroffenen Branchen Unternehmen rasch Gänge Betrieben ankommen 
-	x	x	x	-	o	-	124033	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	verhandeln Budget Datenbasis berechnet   Finanz­minister abgestritten   neuerliche harte Lockdown berücksichtigt 
-	#	#-	x	-	o	-	124043	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Kollege Fuchs genau ausgeführt Budgetverhandlungen offensichtlich getan wüssten harten Lockdown bewusst käme 
o	x	x	x	x	o	o	124044	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Beratungen 6.   November Wirtschaftsexperte Badelt gesprochen Lock­down soft Weihnachten dauern 
-	x	x	x	x	o	o	124046	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	spannend befreundeter Unternehmer Herrn Bundes­kanzler Wien Wochen bevor sanfte Lockdown gekommen geschrieben Lokale sperren 
o	x	x	x	x	o	o	124048	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	sanfter Lockdown scharfer Lockdown 
-	x	x	-	-	-	-	124051	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Damen Herren perfide Politik ÖVP Monaten betreiben Lockdown geführt Leute draußen echte existenzielle Bedrohung 
-	x	x	-	x	-	-	124052	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Lockdown Unternehmer gewusst Verluste aufholen ausgleichen schwerer 
o	x	x	x	x	o	o	124067	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Mittwoch letzter Woche   Woche   herinnen gesessen Lockdown light verlängert 
-	x	x	-	x	o	-	124093	2020_11_17	62	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Sommermonate Lockdown Arbeits­losen­zahlen kurzfristig zurückgegangen Lockdown Arbeitslosenzahlen 2020 arbeitsmarkpolitische Schallmauer 500.000 Arbeitslosen deutlich durchschlagen 
+	x	x	x	x	+	+	124107	2020_11_17	62	Grüne	Abgeordnete Mag. Eva Blimlinger (Grüne)	True	Kunst- Kulturinstitutionen -initiativen Künstler Künstlerinnen versuchen Formate finden Lockdown arbeiten 
+	x	x	x	+	+	+	124113	2020_11_17	62	Grüne	Abgeordnete Mag. Eva Blimlinger (Grüne)	True	kürzlich Sommer eingerichteten Überbrückungsfonds Lockdownbonus 1   300   Euro November 2   300   Euro kriege Gott Zuschriften Leute ansuchen rasch bekommen   all bedanken Sozialversicherung verwalten 
+	x	x	x	+	+	+	124115	2020_11_17	62	Grüne	Abgeordnete Mag. Eva Blimlinger (Grüne)	True	Gelegenheit Kunst- Kulturbudget Detail sprechen wichtig sehen Künstler Künstlerinnen Formen finden Lockdown arbeiten freue unterschiedlichste Art Weise unter­stützen 
+	x	x	x	+	+	+	124149	2020_11_17	62	ÖVP	Bundesministerin für Landwirtschaft, Regionen und Tourismus Elisabeth Köstinger	True	Lock­down heutigen trifft Bereiche hart   Stelle Dankeschön Finanz­ministerium Mitarbeiterinnen Mitarbeiter Finanz­minister Gernot Blümel innerhalb gelungen 80-pro­zentigen Umsatzersatz aufzustellen rasch unbürokratisch abzuwickeln Branche bestmögliche Unterstützung bieten 
o	x	x	x	x	o	o	124246	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	Liebe Kolleginnen Kollegen obwohl Westeuropa Teillockdown Zuständen Lockdowns befindet Westeuropa Schulen gehalten 
-	x	x	x	-	o	o	124250	2020_11_17	62	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	Regierung Bundeskanzler wahrscheinlich vorgelegte Budget adressiert keinster Weise Defizite Lockdown jetzigen Situation 
-	x	x	-	x	-	-	124298	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Oktober Minus 6,8   Prozent gesprochen mittlerweile 7,7   Prozent Lockdown Richtung 9   Prozent 
o	#	#-	x	x	o	o	124303	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	gemeint könnten leisten letzten solide Budgetpolitik gegeben getan Lockdown verhindern 
-	x	x	x	-	-	-	124304	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Mittlerweile fragen Österreicher getan Lockdown verhindern 
-	x	x	x	-	-	-	124309	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Beatmungsgeräte Ausland verliehen einzige Grund Lockdowns Gesundheitssystem über­lastet 
o	x	x	x	x	o	o	124312	2020_11_17	62	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Lock­down 
-	x	x	-	x	o	o	124357	2020_11_17	62	ÖVP	Abgeordnete Angela Baumgartner (ÖVP)	True	Frühjahr treffen Lockdown Budget aufeinander 
-	x	x	-	x	o	+	124364	2020_11_17	62	ÖVP	Abgeordnete Angela Baumgartner (ÖVP)	True	Lockdown erhebliche Schäden heimische Volkswirtschaft 
+	x	x	+	x	+	+	124365	2020_11_17	62	ÖVP	Abgeordnete Angela Baumgartner (ÖVP)	True	laut IHS geringer Frühjahr Lockdown wären Schäden vermutlich größer 
+	x	x	x	+	+	+	124366	2020_11_17	62	ÖVP	Abgeordnete Angela Baumgartner (ÖVP)	True	Staatshilfen ausgeweitet aufgrund erweiterten Lockdowns Betrieb schließen 
o	x	x	o	x	o	-	124401	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	springende Punkt eigentlich Lockdown Tourismus länger gilt 
o	x	x	x	+s	o	o	124450	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Unternehmer_innen brauchen schnelle unbürokratische Hilfe Verlässlichkeit Dauer aktuellen Lock­downs hinausgeht 
+	x	x	x	+s	o	o	124454	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Säulen jederzeit Verfügung stehen Säule Verstärkung aufgestellt falls aktuell Lockdown 
+	x	x	x	+s	o	o	124456	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	gilt rasch gesamte Beihilfenrecht auszunutzen Fixkostenzuschuss   107 Fall Lockdowns umzusetzen Unternehmen behördlich geschlossen wissen Verlustausgleich rechnen 
o	x	-	x	+s	-	-	124457	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Lockdowns unbedingt verhin­dert rechtzeitigen Gesprächen Europäischen Kom­mission Hilfen vorbereitet Schließung schnell wirken 
o	x	x	-	+s	o	-	124465	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Unternehmen brauchen Klarheit Verluste Lockdown cash-wirksam kompensiert Aufträge wegge­brochen 
+	x	x	x	+s	o	o	124466	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Fixkostenzuschuss sowohl Lockdown-Fall Nicht-Lockdown-Fall wirken 
o	x	x	x	+s	o	o	124467	2020_11_17	62	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Lockdown beihilfen­recht­lichen Möglichkeiten ändern Unternehmen Behördenweg Instrument ändern 
+	x	x	x	+s	o	o	124609	2020_11_17	62	SPÖ	Abgeordnete Gabriele Heinisch-Hosek (SPÖ)	False	Lockdowns genützt langfristig wirksame Corona-Strategie umzustellen 
-	x	x	x	x	o	-	124665	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Zahlen geehrte Damen Herren sogar schöngerechnet veraltet basieren Prognose aktuellen harten Lockdown berücksichtigt 
-	x	-	x	-	-	-	124667	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Regierung offensichtlich Erkenntnissen Erfahrungen Lockdowns Welle gelernt klar Lockdown durchgeführt richtet Schaden hilft 
-	x	x	x	-	o	-	124679	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Anstatt herumzutesten bräuchten regelmäßige Quer­schnittstestungen österreichischen Bevölkerung totalen Lockdown Herr Bundeskanzler vorschlägt vorher evidenz­basierte Grundlage Maßnahmen 
-	x	-	x	-	-	-	124684	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Stattdessen befinden harten Lockdown Zahlen Weise hergeben 
-	x	-	x	x	-	-	124686	2020_11_17	62	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Begründung harten Lockdown herhalten erschließt Weise 
o	x	x	x	#-	+	+	124701	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Kollege Kaniak Zahlen Lockdown zugrunde liegen getan stimmen 
o	x	+	x	x	+	+	124703	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Grund Mitternacht harten Lockdown 
-	x	+	+	+	+	+	124704	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Grund Lockdown alternativlos Medizinerinnen Mediziner Sanitäterinnen Sanitäter Menschen Spitälern arbeiten sorgen Menschen gepflegt Menschen gesund momentan Rücken Wand stehen 
o	x	+	+	x	+	+	124705	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Aufgabe Politiker Menschen helfen halt Zustrom erkrankten Menschen minimieren Lock­down 
o	x	-	x	x	-	-	124712	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	6.12. Zahlen hoffentlich herunten Lockdown aussteigen 
o	x	-	x	x	-	-	124713	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Zahlen hoffentlich herunten Lockdown brauchen 
-	x	x	-	x	-	-	124805	2020_11_17	62	SPÖ	Abgeordneter Andreas Kollross (SPÖ)	False	Aufgrund Lockdowns ausgehen   2021 ebenfalls 2   Milliarden Euro 2   095   Gemeinden Österreich fehlen 
-	x	x	-	-	o	-	125360	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	Budgetrede Finanzministers hörte Wort Lockdownverlierern budgetär Arme greifen Wort vorgesehen Maßnahmen treffen Folgeschäden Lockdowns Schulen zumindest gering halten   unge­recht 
-	x	x	-	+s	o	-	125363	2020_11_17	62	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	braucht Budget spezielle Förderangebote Lockdowns verlorene Bildungszeit aufholen 
-	x	x	x	-	o	-	125408	2020_11_17	62	SPÖ	Abgeordnete Mag. Karin Greiner (SPÖ)	False	Lockdown   gehört   Folgen Lockdowns Budget eingepreist 
-	x	x	x	x	o	o	125643	2020_11_17	62	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Hilfestellungen angeboten   Rückverweis überarbeiten nächsten Lockdown berücksichtigen   schnöde abgewiesen 
-	x	x	x	-	o	-	125644	2020_11_17	62	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	harten Lockdowns versammeln 183 plus 20   Bundeskanzler weggeblieben   plus Personal Budget diskutieren Makulatur 
-	x	x	x	-	o	-	125647	2020_11_17	62	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Gleichzeitig Branchen 80   Prozent Umsatzentschädigung Anrechnung Kurzarbeit   super Betroffenen Monat bisschen Entschädigung vergessen Lockdown eins Frühjahr Großteil auszubezahlen 
-	x	x	x	-	o	-	125916	2020_11_17	62	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	diesbezüglich COVID-19-Notmaßnahmenverordnung anschaue Lockdown begründet auflachen einfach aufgrund Pauschalität nachvollziehbarer Begründung verfassungswidrig 
-	x	x	x	-	-	-	125917	2020_11_17	62	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Hören   Vertreter Regierungsparteien gerichtet   Men­schen kritische Bürger Mediziner Regierungslinie hinterfragen Ausbreitung Infektionskrankheit Notwendigkeit angeblich notwendigen Lockdowns verantwortlich 
-	x	x	-	x	-	-	125942	2020_11_17	62	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	aufgrund erzwungenen Lockdowns Orga­ni­sationen Betrieb stark einschränken bzw. komplett einstellen 
+	x	x	x	x	o	+	126093	2020_11_17	62	Grüne	Abgeordnete Mag. Eva Blimlinger (Grüne)	True	öffentliche Dienst gewährleistet sowohl Lockdown Staat reibungslos funktioniert sehen 
+	x	x	x	x	+	+	126101	2020_11_17	62	Grüne	Abgeordnete Mag. Eva Blimlinger (Grüne)	True	Sinne anregen   gilt Beam­ten Beamtinnen Vertragsbediensteten Erwähnung öffentlichen Dienstes Gruppen zentral halten unseren Staat aufrecht   Lassen NEOS abbringen folgen Wunsch zahlen Prämien all Lockdowns Sommer Jahres geleistet 
o	x	x	x	x	o	o	126314	2020_11_17	62	SPÖ	Abgeordneter Ing. Reinhold Einwallner (SPÖ)	False	Lock­downphase gesehen stark Zahl Anfragen Volksanwaltschaft ge­stiegen notwendig Sonderprüfungen Sonderberichte 
-	x	x	x	-	o	-	126660	2020_11_17	62	SPÖ	Abgeordneter Mag. Jörg Leichtfried (SPÖ)	False	Genau Woche Lockdown Thema wahr­scheinlich überlagert versucht durchzubringen sage durchgehen lassen 
-	x	x	x	x	o	o	127210	2020_11_17	62	SPÖ	Abgeordnete Mag. Verena Nussbaum (SPÖ)	False	Hoffnung laufenden Budgetdebatte Zuge Lockdowns medial untergehen sage deutlich Pensionsraub 
